date,position,song,artist,popularity,duration_ms,album_type,genre_list,release_date,is_explicit,album_cover_url,uri
2024-09-12,5,J’crois qu’ils ont pas compris,Leto,76,130000,album,french hip hop & pop urbaine & rap francais,2024-07-19,True,https://i.scdn.co/image/ab67616d0000b273e5f1f76084cf6dc4dc2b865d,spotify:track:3KmGOpeFaltoCpzRAyrZJg
2024-09-12,6,No lo sé,Lacrim,77,165813,album,arabic hip hop & french hip hop & pop urbaine,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9,spotify:track:0KT1DHLTofoTRy1WTlco3r
2024-09-12,7,Imagine,Carbonne,79,165775,single,,2024-05-03,False,https://i.scdn.co/image/ab67616d0000b27337e49fda542d77914677ca3e,spotify:track:6IcsbETuviVu6UTiBTcxY4
2024-09-12,8,CRF - Nouvelle École,Yorssy,76,129153,single,,2024-07-05,False,https://i.scdn.co/image/ab67616d0000b27365ccfa3a7a9139ec9bcdee86,spotify:track:1HQQbaepsGB5uyTAGmSZxj
2024-09-12,9,Bah Ouais - Nouvelle École,Dadi,76,201951,single,,2024-07-22,False,https://i.scdn.co/image/ab67616d0000b2739fd9c32f3fc0231398c31a23,spotify:track:2PYMw8P6kuCHqhltz47XMr
2024-09-12,10,Coco,Ninho & Niska,76,148657,single,french hip hop & pop urbaine & r&b francais,2024-07-12,True,https://i.scdn.co/image/ab67616d0000b273063273993b59a3241cc51ea6,spotify:track:1HXC5IiGUqTEFl18IJ42Lm
2024-09-12,11,Malya,AMK,68,192182,album,,2022-05-27,True,https://i.scdn.co/image/ab67616d0000b273874e7c2463ee8bf29061c209,spotify:track:5XRSmVzOdT0dd3mMEWFnQC
2024-09-12,12,Boucan (feat. Franglish),KeBlack & Franglish,76,171216,single,french hip hop & pop urbaine & r&b francais,2024-04-25,True,https://i.scdn.co/image/ab67616d0000b27378ed0170fe04ce8369809eb3,spotify:track:6jElwivDtkQUv9QFGrdN26
2024-09-12,13,Wayeh,THEODORT,73,148786,album,,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273d726484fcdb087409ded0765,spotify:track:7EMzOyDT87Uq9Hi08Mxe31
2024-09-12,14,Aucune attache,KeBlack,76,161977,single,french hip hop & pop urbaine & r&b francais,2024-02-02,False,https://i.scdn.co/image/ab67616d0000b2734554f6ef4b73557ab553bc21,spotify:track:3KZN01EuBoqh04jyGXpnxr
2024-09-12,15,Espresso,Sabrina Carpenter,97,175459,single,pop,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,spotify:track:2qSkIjg1o9h3YT9RAgYN75
2024-09-12,16,Hakayet,VEN1,76,158208,single,,2023-11-20,True,https://i.scdn.co/image/ab67616d0000b27313295a84f4cf446fab5553a9,spotify:track:3PyRt7gpih7EPvV0fMWEom
2024-09-12,17,Gata Only,FloyyMenor & Cris Mj,79,222000,album,mambo chileno & reggaeton chileno & trap latino & urbano chileno & urbano latino,2024-08-09,True,https://i.scdn.co/image/ab67616d0000b273ea86b8fe5ceb9e50e43a1ff9,spotify:track:2esZG2XFtuoWWA9AfDvSxy
2024-09-12,18,Alibi (with Pabllo Vittar & Yseult),Sevdaliza & Pabllo Vittar & Yseult,92,161655,single,alternative r&b & dance pop & french pop & funk carioca & funk pop & persian electronic & pop lgbtq+ brasileira & pop nacional & r&b francais,2024-06-28,False,https://i.scdn.co/image/ab67616d0000b2734ee35e37bc21fe929a4d3605,spotify:track:5496lks6V3fh1mZAB6IAap
2024-09-12,19,The Emptiness Machine,Linkin Park,86,190427,single,alternative metal & nu metal & post-grunge & rap metal & rock,2024-09-05,True,https://i.scdn.co/image/ab67616d0000b273c0db065619ed208515412917,spotify:track:2PnlsTsOTLE5jnBnNe2K0A
2024-09-12,20,911,Ninho & Niska & Koba LaD,64,261021,single,french hip hop & pop urbaine & r&b francais & rap francais,2024-09-06,True,https://i.scdn.co/image/ab67616d0000b2739209764f07cb7cef3912724b,spotify:track:567I1pGlfAQUfHTMHbH6qj
2024-09-12,21,Mélanine,Heuss L'enfoiré & Werenoi,66,181973,album,french hip hop & pop urbaine & rap francais,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b27326914a6e0c0bf91815d0fc24,spotify:track:0t7d6wbJLS2A31yqlHFew7
2024-09-12,22,Joie de filles (feat. Vacra),Lacrim & Vacra,66,138306,album,arabic hip hop & french hip hop & pop urbaine,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9,spotify:track:0s6VVcHt9LBdoMhR2itOQ8
2024-09-12,23,Si Antes Te Hubiera Conocido,KAROL G,96,195824,single,reggaeton & reggaeton colombiano & urbano latino,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,spotify:track:6WatFBLVB0x077xWeoVc2k
2024-09-12,24,Position,Franglish,75,141226,album,french hip hop & pop urbaine & r&b francais,2024-02-15,False,https://i.scdn.co/image/ab67616d0000b273ecfbdb578028d4248ecdbe7d,spotify:track:3Zw66L4FvI9YUUx17OReRD
2024-09-12,25,Confidences,Vacra & PLK,65,128197,album,french hip hop & pop urbaine & rap conscient,2024-05-16,False,https://i.scdn.co/image/ab67616d0000b273a8c324480f2a0a8a92b272cf,spotify:track:2Os26puFcTLXTsap0Wasmm
2024-09-12,26,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,art pop & pop,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,spotify:track:6dOtVTDdiauQNBQEDOtlAB
2024-09-12,27,Beautiful Things,Benson Boone,91,180304,album,singer-songwriter pop,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,spotify:track:3xkHsmpQCBMytMJNiDf3Ii
2024-09-12,28,Die With A Smile,Lady Gaga & Bruno Mars,98,251667,single,art pop & dance pop & pop,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,spotify:track:2plbrEY59IikOBgBGLjaoe
2024-09-12,29,Vanilla,VEN1 & Ramos.,65,187810,single,,2024-08-30,True,https://i.scdn.co/image/ab67616d0000b2733a44d3f574d45f256be5ef66,spotify:track:71vWRlfHefIMtoDnUPtXcf
2024-09-12,30,Move,Adam Port & Stryv & Keinemusik & Orso & Malachiii,92,177598,single,melodic house,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27317a013a00d0a33f3dd49974d,spotify:track:1BJJbSX6muJVF2AK7uH1x4
2024-09-12,31,Passe ton chemin,Lynda,71,169256,single,r&b francais,2024-06-14,False,https://i.scdn.co/image/ab67616d0000b273950cfdfba8816aeefbda7603,spotify:track:1edPU5OOn4YCWn9lR0nesC
2024-09-12,32,The Sound of Silence - CYRIL Remix,Disturbed & CYRIL,86,185238,single,alternative metal & nu metal & rap metal & rock,2024-02-02,False,https://i.scdn.co/image/ab67616d0000b2734c754a6761367bb96513c68c,spotify:track:1LY3GhF0zxIVgbYEQjCbUO
2024-09-12,33,FLASHBACK,Favé & Gazo,73,176120,album,drill francais & french hip hop & pop urbaine & r&b francais & rap francais,2023-10-13,True,https://i.scdn.co/image/ab67616d0000b273bed20ca2a508148c3f8cffd8,spotify:track:2PWJx5FwMrMVEaTjwYait1
2024-09-12,34,GARS DU ZOO,UZI,55,165586,album,french hip hop & pop urbaine & rap francais,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b27367b37fd3347bd2cb218c217b,spotify:track:6zOROWSana8gXPcDlvYggu
2024-09-12,35,Dolce Camara,Booba & SDM,69,178401,album,french hip hop & old school rap francais & pop urbaine & r&b francais & rap conscient,2024-02-08,True,https://i.scdn.co/image/ab67616d0000b27324b6493c8778514c3e275560,spotify:track:15vGti1ooNZFlDUdlLukX6
2024-09-12,36,I Don't Wanna Wait,David Guetta & OneRepublic,90,149667,single,big room & dance pop & edm & piano rock & pop & pop dance,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b2732f479a6c1825c1f29e0a3d49,spotify:track:331l3xABO0HMr1Kkyh2LZq
2024-09-12,37,Tu connais,Werenoi,71,169000,album,french hip hop & pop urbaine,2023-09-21,True,https://i.scdn.co/image/ab67616d0000b2737fed909b45d0c711e00ef715,spotify:track:3rIX5DA9rUk89KUOZdGFaN
2024-09-12,38,Terminal 2F,GIMS & Dadju,71,187298,single,french hip hop & pop urbaine & r&b francais & rap conscient,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b273ed6e58c1398f60ac93786c1d,spotify:track:0kcTNJvmhpx2Oeb4VChx14
2024-09-12,39,Petit génie,Jungeli & Imen Es & Alonzo & Abou Debeing & Lossa,76,217259,single,french hip hop & pop urbaine & r&b francais & rap marseille,2023-08-04,True,https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac,spotify:track:1eldTykrnkEBLX41bk5eMw
2024-09-12,40,Stargazing,Myles Smith,92,172533,single,singer-songwriter pop,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
2024-09-12,41,Laboratoire,Werenoi,69,162840,album,french hip hop & pop urbaine,2023-03-09,True,https://i.scdn.co/image/ab67616d0000b273454178915a2bb0bb78cfebaf,spotify:track:7wOgZ1otoKYDvKyQKP1sNZ
2024-09-12,42,Dougie,K2S,72,141000,single,,2024-06-14,False,https://i.scdn.co/image/ab67616d0000b2731efc22bdaeb9250f2bf21c01,spotify:track:3u4YjYq448qqRkUfJsbrnM
2024-09-12,43,Bolide allemand,SDM,74,176746,album,french hip hop & pop urbaine & r&b francais,2022-12-02,True,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0,spotify:track:0EzNyXyU7gHzj2TN8qYThj
2024-09-12,44,Austin (Boots Stop Workin'),Dasha,91,171782,album,,2024-02-16,True,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb,spotify:track:2uqYupMHANxnwgeiXTZXzd
2024-09-12,45,Stumblin' In,CYRIL,89,213363,single,,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2739a903819d8a5d3c80c47734c,spotify:track:0h3Xy4V4apMraB5NuM8U7Z
2024-09-12,46,Bande organisée 2,Jul & 13 Organisé & Alonzo & SCH & Kofs & Soso Maness & Houari & Elams & Solda & Naps,72,376493,single,french hip hop & pop urbaine & r&b francais & rap francais & rap marseille,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b2737cfde48c236b512980c813df,spotify:track:3wh4HFS6a3v8Zu1vZadEwA
2024-09-12,47,Ca parle mal,Bouss,64,176248,album,,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b273a1725d8b0c1af59e2ae1ba3a,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi
2024-09-12,48,Lose Control,Teddy Swims,91,210688,album,,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,spotify:track:17phhZDn6oGtzMe56NuWvj
2024-09-12,49,Recommence-moi,SANTA,70,196334,album,french pop,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b2738ec1d323eca7c1d48390eb9a,spotify:track:6P3HLPsc5pWu3sZYxL0S9N
2024-09-12,50,Bolide Noir,Central Cee & JRK 19,75,170800,single,melodic drill & r&drill,2024-08-22,True,https://i.scdn.co/image/ab67616d0000b273de1a00b0ded0ab8caa636574,spotify:track:14DLZ9FaTofhnXBiV38axE
2024-09-13,1,SOIS PAS TIMIDE,GIMS,82,165978,single,french hip hop & pop urbaine & r&b francais & rap conscient,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273681c4363b12252a4ed10f2fb,spotify:track:37tGmKyKlr8vyt9BVdoWQo
2024-09-13,2,MANON B,Tiakola & Ryflo & Oskoow,71,169846,single,french hip hop & pop urbaine,2024-08-29,True,https://i.scdn.co/image/ab67616d0000b273a01ffab8ed27c632a144d389,spotify:track:2PYlRGF5Wi5sDobsLH5gLX
2024-09-13,3,SPIDER,GIMS & DYSTINCT,82,188818,single,belgian hip hop & french hip hop & pop urbaine & r&b francais & rap belge & rap conscient,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27359dc8da873a4aa6c2d6888ff,spotify:track:2fFTn0f94EopgZyfSGQuyK
2024-09-13,4,Monaco,Guy2Bezbar,75,141314,single,french hip hop & pop urbaine & rap francais,2024-07-11,True,https://i.scdn.co/image/ab67616d0000b2732b5b2817520b75805d922f90,spotify:track:2tT8SYE7NnNDKbBsHWPIDY
2024-09-13,5,J’crois qu’ils ont pas compris,Leto,76,130000,album,french hip hop & pop urbaine & rap francais,2024-07-19,True,https://i.scdn.co/image/ab67616d0000b273e5f1f76084cf6dc4dc2b865d,spotify:track:3KmGOpeFaltoCpzRAyrZJg
2024-09-13,6,CRF - Nouvelle École,Yorssy,76,129153,single,,2024-07-05,False,https://i.scdn.co/image/ab67616d0000b27365ccfa3a7a9139ec9bcdee86,spotify:track:1HQQbaepsGB5uyTAGmSZxj
2024-09-13,7,No lo sé,Lacrim,77,165813,album,arabic hip hop & french hip hop & pop urbaine,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9,spotify:track:0KT1DHLTofoTRy1WTlco3r
2024-09-13,8,Imagine,Carbonne,79,165775,single,,2024-05-03,False,https://i.scdn.co/image/ab67616d0000b27337e49fda542d77914677ca3e,spotify:track:6IcsbETuviVu6UTiBTcxY4
2024-09-13,9,Malya,AMK,68,192182,album,,2022-05-27,True,https://i.scdn.co/image/ab67616d0000b273874e7c2463ee8bf29061c209,spotify:track:5XRSmVzOdT0dd3mMEWFnQC
2024-09-13,10,Bah Ouais - Nouvelle École,Dadi,76,201951,single,,2024-07-22,False,https://i.scdn.co/image/ab67616d0000b2739fd9c32f3fc0231398c31a23,spotify:track:2PYMw8P6kuCHqhltz47XMr
2024-09-13,11,Coco,Ninho & Niska,76,148657,single,french hip hop & pop urbaine & r&b francais,2024-07-12,True,https://i.scdn.co/image/ab67616d0000b273063273993b59a3241cc51ea6,spotify:track:1HXC5IiGUqTEFl18IJ42Lm
2024-09-13,12,Hakayet,VEN1,76,158208,single,,2023-11-20,True,https://i.scdn.co/image/ab67616d0000b27313295a84f4cf446fab5553a9,spotify:track:3PyRt7gpih7EPvV0fMWEom
2024-09-13,13,Wayeh,THEODORT,73,148786,album,,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273d726484fcdb087409ded0765,spotify:track:7EMzOyDT87Uq9Hi08Mxe31
2024-09-13,14,Aucune attache,KeBlack,76,161977,single,french hip hop & pop urbaine & r&b francais,2024-02-02,False,https://i.scdn.co/image/ab67616d0000b2734554f6ef4b73557ab553bc21,spotify:track:3KZN01EuBoqh04jyGXpnxr
2024-09-13,15,Gata Only,FloyyMenor & Cris Mj,79,222000,album,mambo chileno & reggaeton chileno & trap latino & urbano chileno & urbano latino,2024-08-09,True,https://i.scdn.co/image/ab67616d0000b273ea86b8fe5ceb9e50e43a1ff9,spotify:track:2esZG2XFtuoWWA9AfDvSxy
2024-09-13,16,Boucan (feat. Franglish),KeBlack & Franglish,76,171216,single,french hip hop & pop urbaine & r&b francais,2024-04-25,True,https://i.scdn.co/image/ab67616d0000b27378ed0170fe04ce8369809eb3,spotify:track:6jElwivDtkQUv9QFGrdN26
2024-09-13,17,Espresso,Sabrina Carpenter,97,175459,single,pop,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,spotify:track:2qSkIjg1o9h3YT9RAgYN75
2024-09-13,18,Alibi (with Pabllo Vittar & Yseult),Sevdaliza & Pabllo Vittar & Yseult,92,161655,single,alternative r&b & dance pop & french pop & funk carioca & funk pop & persian electronic & pop lgbtq+ brasileira & pop nacional & r&b francais,2024-06-28,False,https://i.scdn.co/image/ab67616d0000b2734ee35e37bc21fe929a4d3605,spotify:track:5496lks6V3fh1mZAB6IAap
2024-09-13,19,Joie de filles (feat. Vacra),Lacrim & Vacra,66,138306,album,arabic hip hop & french hip hop & pop urbaine,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9,spotify:track:0s6VVcHt9LBdoMhR2itOQ8
2024-09-13,20,The Emptiness Machine,Linkin Park,87,190427,single,alternative metal & nu metal & post-grunge & rap metal & rock,2024-09-05,True,https://i.scdn.co/image/ab67616d0000b273c0db065619ed208515412917,spotify:track:2PnlsTsOTLE5jnBnNe2K0A
2024-09-13,21,Vanilla,VEN1 & Ramos.,66,187810,single,,2024-08-30,True,https://i.scdn.co/image/ab67616d0000b2733a44d3f574d45f256be5ef66,spotify:track:71vWRlfHefIMtoDnUPtXcf
2024-09-13,22,Position,Franglish,75,141226,album,french hip hop & pop urbaine & r&b francais,2024-02-15,False,https://i.scdn.co/image/ab67616d0000b273ecfbdb578028d4248ecdbe7d,spotify:track:3Zw66L4FvI9YUUx17OReRD
2024-09-13,23,Mélanine,Heuss L'enfoiré & Werenoi,66,181973,album,french hip hop & pop urbaine & rap francais,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b27326914a6e0c0bf91815d0fc24,spotify:track:0t7d6wbJLS2A31yqlHFew7
2024-09-13,24,Confidences,Vacra & PLK,66,128197,album,french hip hop & pop urbaine & rap conscient,2024-05-16,False,https://i.scdn.co/image/ab67616d0000b273a8c324480f2a0a8a92b272cf,spotify:track:2Os26puFcTLXTsap0Wasmm
2024-09-13,25,Si Antes Te Hubiera Conocido,KAROL G,96,195824,single,reggaeton & reggaeton colombiano & urbano latino,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,spotify:track:6WatFBLVB0x077xWeoVc2k
2024-09-13,26,Beautiful Things,Benson Boone,91,180304,album,singer-songwriter pop,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,spotify:track:3xkHsmpQCBMytMJNiDf3Ii
2024-09-13,27,911,Ninho & Niska & Koba LaD,65,261021,single,french hip hop & pop urbaine & r&b francais & rap francais,2024-09-06,True,https://i.scdn.co/image/ab67616d0000b2739209764f07cb7cef3912724b,spotify:track:567I1pGlfAQUfHTMHbH6qj
2024-09-13,28,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,art pop & pop,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,spotify:track:6dOtVTDdiauQNBQEDOtlAB
2024-09-13,29,Die With A Smile,Lady Gaga & Bruno Mars,98,251667,single,art pop & dance pop & pop,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,spotify:track:2plbrEY59IikOBgBGLjaoe
2024-09-13,30,Passe ton chemin,Lynda,71,169256,single,r&b francais,2024-06-14,False,https://i.scdn.co/image/ab67616d0000b273950cfdfba8816aeefbda7603,spotify:track:1edPU5OOn4YCWn9lR0nesC
2024-09-13,31,Move,Adam Port & Stryv & Keinemusik & Orso & Malachiii,91,177598,single,melodic house,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27317a013a00d0a33f3dd49974d,spotify:track:1BJJbSX6muJVF2AK7uH1x4
2024-09-13,32,Dolce Camara,Booba & SDM,69,178401,album,french hip hop & old school rap francais & pop urbaine & r&b francais & rap conscient,2024-02-08,True,https://i.scdn.co/image/ab67616d0000b27324b6493c8778514c3e275560,spotify:track:15vGti1ooNZFlDUdlLukX6
2024-09-13,33,FLASHBACK,Favé & Gazo,73,176120,album,drill francais & french hip hop & pop urbaine & r&b francais & rap francais,2023-10-13,True,https://i.scdn.co/image/ab67616d0000b273bed20ca2a508148c3f8cffd8,spotify:track:2PWJx5FwMrMVEaTjwYait1
2024-09-13,34,The Sound of Silence - CYRIL Remix,Disturbed & CYRIL,65,185238,single,alternative metal & nu metal & rap metal & rock,2024-02-02,False,https://i.scdn.co/image/ab67616d0000b2735ae1ccf0db0174bcbde1777e,spotify:track:32aeRhnsILUPSbPiH5x62t
2024-09-13,35,Ca parle mal,Bouss,65,176248,album,,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b273a1725d8b0c1af59e2ae1ba3a,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi
2024-09-13,36,Laboratoire,Werenoi,69,162840,album,french hip hop & pop urbaine,2023-03-09,True,https://i.scdn.co/image/ab67616d0000b273454178915a2bb0bb78cfebaf,spotify:track:7wOgZ1otoKYDvKyQKP1sNZ
2024-09-13,37,Parler tout bas,Bouss,69,201750,album,,2024-05-01,True,https://i.scdn.co/image/ab67616d0000b273bfe10a8cad7855ec4fe93c5e,spotify:track:4ZBslg1i1eHVOMhZZoX5fx
2024-09-13,38,GARS DU ZOO,UZI,58,165586,album,french hip hop & pop urbaine & rap francais,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b27367b37fd3347bd2cb218c217b,spotify:track:6zOROWSana8gXPcDlvYggu
2024-09-13,39,Bolide allemand,SDM,74,176746,album,french hip hop & pop urbaine & r&b francais,2022-12-02,True,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0,spotify:track:0EzNyXyU7gHzj2TN8qYThj
2024-09-13,40,Tu connais,Werenoi,71,169000,album,french hip hop & pop urbaine,2023-09-21,True,https://i.scdn.co/image/ab67616d0000b2737fed909b45d0c711e00ef715,spotify:track:3rIX5DA9rUk89KUOZdGFaN
2024-09-13,41,Petit génie,Jungeli & Imen Es & Alonzo & Abou Debeing & Lossa,76,217259,single,french hip hop & pop urbaine & r&b francais & rap marseille,2023-08-04,True,https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac,spotify:track:1eldTykrnkEBLX41bk5eMw
2024-09-13,42,I Don't Wanna Wait,David Guetta & OneRepublic,90,149667,single,big room & dance pop & edm & piano rock & pop & pop dance,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b2732f479a6c1825c1f29e0a3d49,spotify:track:331l3xABO0HMr1Kkyh2LZq
2024-09-13,43,Terminal 2F,GIMS & Dadju,71,187298,single,french hip hop & pop urbaine & r&b francais & rap conscient,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b273ed6e58c1398f60ac93786c1d,spotify:track:0kcTNJvmhpx2Oeb4VChx14
2024-09-13,44,Dougie,K2S,72,141000,single,,2024-06-14,False,https://i.scdn.co/image/ab67616d0000b2731efc22bdaeb9250f2bf21c01,spotify:track:3u4YjYq448qqRkUfJsbrnM
2024-09-13,45,Stargazing,Myles Smith,92,172533,single,singer-songwriter pop,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
2024-09-13,46,Stumblin' In,CYRIL,89,213363,single,,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2739a903819d8a5d3c80c47734c,spotify:track:0h3Xy4V4apMraB5NuM8U7Z
2024-09-13,47,Bande organisée 2,Jul & 13 Organisé & Alonzo & SCH & Kofs & Soso Maness & Houari & Elams & Solda & Naps,72,376493,single,french hip hop & pop urbaine & r&b francais & rap francais & rap marseille,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b2737cfde48c236b512980c813df,spotify:track:3wh4HFS6a3v8Zu1vZadEwA
2024-09-13,48,Austin (Boots Stop Workin'),Dasha,91,171782,album,,2024-02-16,True,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb,spotify:track:2uqYupMHANxnwgeiXTZXzd
2024-09-13,49,Bolide Noir,Central Cee & JRK 19,75,170800,single,melodic drill & r&drill,2024-08-22,True,https://i.scdn.co/image/ab67616d0000b273de1a00b0ded0ab8caa636574,spotify:track:14DLZ9FaTofhnXBiV38axE
2024-09-13,50,CORDILLÈRE,Maes & Werenoi,67,198946,album,french hip hop & pop urbaine & rap francais,2024-07-18,True,https://i.scdn.co/image/ab67616d0000b273dedc1a56a40d77e5390365f0,spotify:track:2rVrFAV4XPF0gonpDwvFQI
2024-09-14,1,SOIS PAS TIMIDE,GIMS,82,165978,single,french hip hop & pop urbaine & r&b francais & rap conscient,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273681c4363b12252a4ed10f2fb,spotify:track:37tGmKyKlr8vyt9BVdoWQo
2024-09-14,2,MANON B,Tiakola & Ryflo & Oskoow,72,169846,single,french hip hop & pop urbaine,2024-08-29,True,https://i.scdn.co/image/ab67616d0000b273a01ffab8ed27c632a144d389,spotify:track:2PYlRGF5Wi5sDobsLH5gLX
2024-09-14,3,SPIDER,GIMS & DYSTINCT,82,188818,single,belgian hip hop & french hip hop & pop urbaine & r&b francais & rap belge & rap conscient,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27359dc8da873a4aa6c2d6888ff,spotify:track:2fFTn0f94EopgZyfSGQuyK
2024-09-14,4,Monaco,Guy2Bezbar,75,141314,single,french hip hop & pop urbaine & rap francais,2024-07-11,True,https://i.scdn.co/image/ab67616d0000b2732b5b2817520b75805d922f90,spotify:track:2tT8SYE7NnNDKbBsHWPIDY
2024-09-14,5,J’crois qu’ils ont pas compris,Leto,77,130000,album,french hip hop & pop urbaine & rap francais,2024-07-19,True,https://i.scdn.co/image/ab67616d0000b273e5f1f76084cf6dc4dc2b865d,spotify:track:3KmGOpeFaltoCpzRAyrZJg
2024-09-14,6,CRF - Nouvelle École,Yorssy,76,129153,single,,2024-07-05,False,https://i.scdn.co/image/ab67616d0000b27365ccfa3a7a9139ec9bcdee86,spotify:track:1HQQbaepsGB5uyTAGmSZxj
2024-09-14,7,No lo sé,Lacrim,77,165813,album,arabic hip hop & french hip hop & pop urbaine,2024-06-14,True,https://i.scdn.co/image/ab67616d0000b273e3d45049f4fd0b3f1bc8f1f9,spotify:track:0KT1DHLTofoTRy1WTlco3r
2024-09-14,8,Malya,AMK,69,192182,album,,2022-05-27,True,https://i.scdn.co/image/ab67616d0000b273874e7c2463ee8bf29061c209,spotify:track:5XRSmVzOdT0dd3mMEWFnQC
2024-09-14,9,Imagine,Carbonne,79,165775,single,,2024-05-03,False,https://i.scdn.co/image/ab67616d0000b27337e49fda542d77914677ca3e,spotify:track:6IcsbETuviVu6UTiBTcxY4
2024-09-14,10,Bah Ouais - Nouvelle École,Dadi,76,201951,single,,2024-07-22,False,https://i.scdn.co/image/ab67616d0000b2739fd9c32f3fc0231398c31a23,spotify:track:2PYMw8P6kuCHqhltz47XMr
2024-09-14,11,Coco,Ninho & Niska,76,148657,single,french hip hop & pop urbaine & r&b francais,2024-07-12,True,https://i.scdn.co/image/ab67616d0000b273063273993b59a3241cc51ea6,spotify:track:1HXC5IiGUqTEFl18IJ42Lm
2024-09-14,12,Aucune attache,KeBlack,76,161977,single,french hip hop & pop urbaine & r&b francais,2024-02-02,False,https://i.scdn.co/image/ab67616d0000b2734554f6ef4b73557ab553bc21,spotify:track:3KZN01EuBoqh04jyGXpnxr
2024-09-14,13,Boucan (feat. Franglish),KeBlack & Franglish,76,171216,single,french hip hop & pop urbaine & r&b francais,2024-04-25,True,https://i.scdn.co/image/ab67616d0000b27378ed0170fe04ce8369809eb3,spotify:track:6jElwivDtkQUv9QFGrdN26
2024-09-14,14,Hakayet,VEN1,76,158208,single,,2023-11-20,True,https://i.scdn.co/image/ab67616d0000b27313295a84f4cf446fab5553a9,spotify:track:3PyRt7gpih7EPvV0fMWEom
2024-09-14,15,Wayeh,THEODORT,73,148786,album,,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273d726484fcdb087409ded0765,spotify:track:7EMzOyDT87Uq9Hi08Mxe31
2024-09-14,16,Gata Only,FloyyMenor & Cris Mj,79,222000,album,mambo chileno & reggaeton chileno & trap latino & urbano chileno & urbano latino,2024-08-09,True,https://i.scdn.co/image/ab67616d0000b273ea86b8fe5ceb9e50e43a1ff9,spotify:track:2esZG2XFtuoWWA9AfDvSxy
